comment,score,hospital,en
เป็นโรงพยาบาลที่มีเครื่องมือและอุปกรณ์ที่ครบครันสามารถวิริจฉัยโรคได้อย่างรวดเร็ว..เนื่องจากรักษามาหลายที่แล้วไม่สามารถวินิจฉัยโรคได้ทำให้การรักษาช้า..แพทย์มีหลายสาขาเอาใจใส่ดีค่ะ,5,Bangkok Hospitol,"The hospital is equipped with the tools and equipment that can Wiriyaporn the diagnosis quickly.. Because many treatments that can not be diagnosed, making treatment slower.. Medical care, there are many branches there."
บริการดีตั้งแต่เอารถไปจอดให้ ใส่ใจการบริการ หมอก็ตอบข้อซักถามดี เหมาะสมกับราคาและเวลาเงินทองที่ไปรักษา,4,Bangkok Hospitol,Good service from the car park to go to. Attentive service I answered the questions well. Value for money and the time and money to maintain.
ไปตรวจสุขภาพประจำปีที่รพ.ทางเจ้าหน้าที่ให้การต้อนรับอย่างดี สอบถามข้อมูลเบื้องต้นอย่างละเอียด พาไปยังแผนกที่ทำการตรวจในแต่ละจุด ให้คำแนะนำ และสอบถามความต้องการอยู่ตลอด เอาใจใส่มาก บริการดีค่ะ ประทับใจ,4,Bangkok Hospitol,"The annual health check, the hospital staff gave a favorable reception. For information detailed Escorted to the front of each check point to suggestions and inquiries are always very attentive service needs a good impression."
บริการดี รวดเร็ว การรักษาดี มั่นใจมากคุณพ่อรอดชีวิตจากเส้นเลือดสมองตีบและการติดเชือในกระแสเลือดได้ก็เพราะที่นี่ครับ,5,Bangkok Hospitol,"Good service, good treatment quickly reassured his father survived a cerebral thrombosis and infection in the bloodstream because of that."
เคยเข้าใช้บริการ รพ. กรุงเทพเป็นประจำ เพราะไว้ใจคุณหมอ คุณหมอเก่ง พนักงาน บริการดี สุภาพ,5,Bangkok Hospitol,"Have access to hospital in Bangkok on a regular basis. Trust your doctor because you have good staff, good service, polite."
บริการดี ทีมงานหน้ารัก แพทย์วินิฉัยตรงจุด ยามีคุณภาพ ค่าใช้จ่ายเป็นธรรม,4,Bangkok Hospitol,"Service Team Love Medical spot new diagnostic medicine quality, cost is justified."
การบริการดีแบบ5ดาว คุณหมอและพยาบาลดูแลเอาใจใส่ดี,5,Bangkok Hospitol,The 5 star service Doctors and nursing care as well.
ถ้าไม่อยากเสียเวลารอหมอนาน 1 ต้องทำเรื่องจองคิว เพื่อช่วยย่นเวลาหาประวัติเรา 2. เราควรตรวจสอบก่อนว่าอาการที่เราเป็นแพทยผ์ผู้เชี่ยวชาญอยู่ที่ไหน ตารางการออกตรวจ และจำนวนผู้ป่วยที่รอตรวจ หากเราเตรียมสิ่งเหล่านี้แล้วเราจะสามารถแก้ปัญหาเรื่องการรอคอยหลายๆ ชั่วโมงได้นะค่ะ,5,Bangkok Hospitol,"If you do not want to waste time waiting for a doctor first to make a reservation queue. 2. To help shorten the time for the record, we should first check whether the symptoms are a medical expert ผs whereabouts. Check out the table And the number of patients waiting. If we provide these things, then we can solve many of waiting. Friday hours"
บริการประทับใจ ตั้งแต่เจ้าหน้าที่เคาร์เตอ พยายาล ผู้ช่วยแพทย์ และแพทย์,5,Bangkok Hospitol,"Excellent Service Officials from the State's counter medicines, the medical assistants and doctors."
พยาบาลหมอให้ความสำคัญแก่ผู้ป่วยเท่ากันทุกราย บริการดีค่ะ,5,Bangkok Hospitol,Hospital doctors to focus all patients equally good service.
ไปเข้ารับการตรวจสุขภาพก่อนเริ่มงานมาค่ะ เจ้าหน้าที่ทุกท่านอัธยาศัยดีบริการดี ในโรงพยาบาลมีห้างย่อมๆในนั้นมีร้านอาหารให้เลือกสรรเยอะอยู่ ติดอย่างเดียวตรงที่รอนานคิวเยอะค่ะ ขนาดไปวันธรรมดา,4,Bangkok Hospitol,To undergo a medical examination before starting work on it. All staff courteous service. The hospital has a small store in the dining room there is. Stick one on the long waiting queue lot. Measures to weekdays
คุณหมอโอเค แต่พนักงานบริการแย่ยิ่งตอนจ่ายตังรับยาต้องรอประมาณชั่วโมงครึง ทำอย่างกับรพรัฐ,3,Bangkok Hospitol,"You okay, but the service was even worse to pay to get drugs to wait about an hour and half. Do the State Hospital"
เมื่อวันที่11มค.60ที่ผ่านมา ไปรับการรักษาโดยการผ่าคัคลอดที่รพ.กรุงเทพ (สำนักงานใหญ่) ประทับใจมากๆ. ตั้งแต่ทีมแพทย์ผ่าตัด กุมารแพทย์ พยาบาลห้องคลอด พยาบาลวอร์ดดูแลหลังคลอด และพยาบาลเนิร์สเซอร์รี่ มีความเป็นมืออาชีพในการรักษาและการทำงานเป็นทีมได้อย่างดี และมีคุณภาพมากๆค่ะ ตั้งแต่รู้ว่าต้องผ่าตัดคลอดรู้สึกกังวลมาก(ทุกคนกลัวการผ่าตัดอยู่แล้ว) แต่เมื่อเข้ารักษาวันผ่าตัดจริงทีมเจ้าหน้าที่ที่ให้การดูแลทำให้เรารู้สึกผ่อนคลาย การผ่าตัดดำเนินไปอย่างรวดเร็วและปลอดภัย สามีกลัวมากบอกว่าไม่อยากเข้าไปในห้องผ่าตัดเลย (แต่ในที่สุดก็เข้าไปให้กำลังใจเราในห้องผ่าตัด)บอกว่าไม่น่ากลัวอย่างที่คิด พอกลับมาพักฟื้น ทีมพยาบาลและเจ้าหน้าที่ให้การดูแลช่วยเหลือเป็นอย่างดี คอยให้คำอนะนำตลอดการรักษา พยาบาลเนิร์สเซอร์รี่น่ารักมากๆ มีความเหมาะสมที่จะมาดูแลเด็กแรกเกิดจริงๆ มีความสุภาพอ่อนโยนและมีความรู้ดูเป็นมืออาชีพมากๆ รวมถึงแม่บ้านเจ้าหน้าที่เสิร์ฟอาหาร ทุกๆคนมีความสุภาพมากๆ. ทำให้เรารู้สึกประทับใจในการเข้ารับการรักษาโดยการผ่าตัดคลอดในครั้งนี้มากๆค่ะ. จึงอยากแนะนำใครที่กำลังมองหารพ.เอกชน สำหรับการผ่าตัดคลอดจึงขอแนะนำรพ.กรุงเทพ. เพื่อเป็นตัวเลือกในการรักษา แล้วจะรู้สึดไม่ผิดหวัง คุ้มค่ากับค่ารักษาที่จ่ายไปค่ะ,5,Bangkok Hospitol,"On 11 Jan. 60 days ago. To be treated by the cotton maternity hospital in Bangkok. (Headquarters) very impressed. The medical team of the Pediatric Surgical Hospital delivery room. Hospital ward, postnatal care. And nurse FC Azeri. In keeping with the professionalism and teamwork as well. And the quality is very good Since that requires cesarean feel very anxious (all afraid of surgery anyway) but on a day to maintain the actual surgery team that provides care to make us feel relaxed. The surgery was carried out quickly and safely. My husband was very scared that I went into the operating room at all. (But eventually to encourage us in the operating room) that is not scary as you think. Enough to recuperate Nurses and staff provide care and support as well. Wait for the lead throughout the treatment. Nursing FC Azeri cute. It is appropriate to take care of a newborn baby really. Be polite, knowledgeable and very professional. Including women officers serving Everyone is very polite. We were impressed by the admission by cesarean in this very much. I'd recommend anyone who is looking for hospital organizations. It is therefore recommended for cesarean hospital in Bangkok. The options for treatment. I know the general did not disappoint. Worth the fee paid to it."
"ไปใช้บริการตรวจร่างกาย package 15,000 บาทในวันที่ 30 ธันวาคม เข้าใจว่าเป็นวันที่มีผู้มาใช้บริการมาก ทำให้คุณหมอตรวจ ultrasound เร่งรีบมาก ใช้เวลาตรวจแบบรีบๆ เมื่อเปรียบเทียบกับที่เคยตรวจ packge ราคาเดียวกันกับโรงพยาบาลสมิตเวช. สมิตเวชดีกว่ามาก. แม้ว่าคนมารับบริการจะมาก. แต่รักษาคุณภาพใส่ใจในการตรวจมากกว่า การบริการโดยรวมสะดวกสบายมากกว่า มีคนมาคอยดูแลแนะนำและส่งตลอด ไม่ได้แค่แจ้งให้เดินไปตรวจที่ counter อื่นเอง คงไม่ไปอีกแล่วค่ะ",1,Bangkok Hospitol,"To use physical package 15,000 baht on December 30 as the date that has come to much. Doctor gives you a lot of hustle ultrasound examination takes a hurry. Compared to the same price used to determine packge Samitivej Hospital. Samitivej much better. Although the service is great. But maintaining quality care in the over. The overall service more convenient. People care and guidance throughout. Just do not let the inspectors went to another counter itself is not enough to Eire."
บริการดี รวดเร็ว คุณหมอเป็นมิตร อธิบายด้วยภาษาที่เข้าใจง่าย เป็นกันเองค่ะ,5,Bangkok Hospitol,"Good service, fast friendly doctor. Explained with easy to understand language Resonable"
พยาบาลสวย. ใจดี. บริการดีเหมือนเป็นคนในครอบครัว,5,Bangkok Hospitol,Nurse pretty. Good. Good service is like a family.
บริการดีมาก..สะอาด,4,Bangkok Hospitol,Very good service.. Clean
บริการดีดูแลเอาใจใส่คนใข้ตลอดเวลา,5,Bangkok Hospitol,"Good service, caring people aided at times."
สะอาด พยาบาลพูดจาดี ดูแลคนไข้ด้วยใจ,4,Bangkok Hospitol,Clean Hospital flattering Care of patients with heart
ช่วงเดือนที่แล้ว ดิฉันปวดท้องมาก ประมาณ5ทุ่มค่ะ จึงตัดสินใจเข้าโรงพยาบาลซึ่งบ้านอยู่ใกล้โรงพยาบาลกรุงเทพและเคยรักษามาตลอด พอไปถึงโรงพยาบาล ก็มีเจ้าหน้าที่มารับและพานั่งรอเข็นไปยังเตียงผู้ป่วยฉุกเฉิน มีคุณหมอเข้ามาดูแลอาการต่อเนื่อง แม้จะไม่ได้เป็นหมอประจำด้านโรคท้องและลำใส้ แต่ก็เข้ามาถามอาการและใส่ใจดีมากค่ะ ให้ยาและฉีดยาให้บรรเทาอาการปวด หลังจากนั้นทางคุณหมอให้นอนรอดูอาการสักประมาณ1ชั่วโมงเพื่อให้ยาออกฤทธิ์ สรุปว่าบรรเทาอาการปวดท้องได้ดี ดิฉันเริ่มหายเป็นปกติ คุณหมอจึงให้ยาและบอกว่าสามารถกลับบ้านได้ค่ะ,5,Bangkok Hospitol,"During the month, I had a very upset stomach About 5 pm I Decided to go to the hospital, which houses nearby hospital and was maintained throughout. As he reached the hospital Officials have been waiting and took us to the emergency room. You have to take care of the symptoms. Although not a doctor in the stomach and intestinal diseases. But he asked a very good and attentive. Medications and injections to ease the pain. After that, the doctors waited to see the signs for about 1 hour to make drugs. That relieves pain better. I started healed The doctor gives medicine and told me to go home."
แผนกต้อนรับดี โดยรวมดีคะ พยายามยิ้มแย้ม พูดจาไพเราะดีคะ,4,Bangkok Hospitol,Reception good overall good try smiling. Eloquence good
บริการช้ามากกก ถ้าคนไข้เยอะนี่เข้าใจได้ แต่นี่เป็นปัญหาการประสานงานภายใน การส่งต่อคนไข้ ซึ่งไม่มีการติดต่อประสานงานกัน คนไข้นั่งรอเป็นชม. ส่งเรื่องการเงินก็ช้ามากก นั่งรอชำระเงินเกิบครึ่งชม. สรุปทางข้างบนยังไม่ส่งเรื่องให้การเงินดำเนินการ บริการช้า ยิ่งกว่ารพ.รัฐ ไม่สมกับค่ารักษาพยาบาลและค่ายาซึ่งแพงเหลือเกิน,1,Bangkok Hospitol,"Very slow service If patients do not understand this But here is the problem of internal coordination. Forward patients This does not coordinate well. Patients waited an hour. Send your finances, it's very slow. Payment Ekib waiting half an hour. The above summary is sent to the financial services operations slower than the hospital states. Not worthy of treatment and the dose is expensive."
สุดยอดการวิเคราะห์หาสาเหตุของโรคของคุณหมอพร้อมให้การรักษาที่ดีเยี่ยม พยาบาลเอาใจใส่อย่างดี นี่คือ ร.พ. กรุงเทพ,5,Bangkok Hospitol,"The analysis of the causes of the disease, your doctor provide excellent treatment. Health care is one Bangkok hospital."
มาใช้บริการที่นี่เป็นประจำ เจอหมอ 10 คน ดีซะ 9 อีกหนึ่งเป็นหมอโรบอต เดี๋ยวนี้ไป รพ ไหนก็เจอแต่หมอโรบอต ถามอาการแล้วจ่ายยาตามอาการ ไม่มองหน้าด้วยซ้ำ แต่หมอที่นี่น่ารัก ไม่พาณิชย์ด้วย ไม่ขยันขาย เลือกสิ่งที่ดีที่สุดให้คนไข้ แต่ก็ให้คนไข้ตัดสินใจว่ากำลังทรัพย์ตัวเองพอมั้ย,5,Bangkok Hospitol,"The service here is good, but my doctor 10 9 Now a robot as a doctor to the hospital, but doctors do not want robots. It has been prescribed by symptoms. I looked again But here's Doctor Commerce does not work for what is best for the patient. It was decided that the patient's own assets as well."
เมื่อไหร่จะปรับปรุงระบบเวลาจ่ายเงินและรับยาคะ อะไรก็ดีหมดแต่เบื่อมากกับเวลารอจ่ายเงินรับยา ช้าตลอด วันนี้พาคุณแม่มาตามหมอนัด รอจ่ายเงินรับยานานมาก พอถึงคิวไปที่เคาเตอร์จ่ายตัง รอบแรกคุณหมอลืมคีย์สั่งยาลงมา! ละคือที่นั่งรอมาเกือบครึ่งชม.เพื่อ?!? รอไปอีกสักพักใหญ่ๆถึงคิวจ่ายตังรับยาอีกรอบ รอบสองหมอสั่งยาผิดอีกค่ะ!! ต้องไปรอคิวจ่ายตังเพิ่มอีกรอบ สรุปเกือบ1ชม. ที่รอจ่ายตังและรับยา คือไม่ได้มารักษาฟรีนะคะ และคือหมอเป็นไรมากมั้ยคะ ถ้ามึนมากก็นอนอยุ่บ้านเถอะค่ะ จ่ายค่าหมอค่ายาไม่ใช่ถูกๆ แต่บริการเวลาจ่ายตังรับยานี่ห่วยมากค่ะ อย่างกับมารักษาฟรีขอยาฟรี ถ้าไม่ติดว่าประวัติรักษาที่นี่มานมนาน คงย้ายละ ลองมานั่งดูสีหน้าของลูกค้าแต่ละคนที่นั่งรอจ่ายตังรับยาดูนะคะแล้วจะรุ้ว่าเค้านั่งรอกันแบบเบื่อมากก็ไม่ถึงคิวสักที ปล. รพ.กรุงเทพ ซ.ศูนย์วิจัยค่ะ ปรับปรุงสักทีเถอะค่ะ จะได้ดีครบหมดทุกด้าน,2,Bangkok Hospitol,"It will improve the system for paying and taking it. What a pleasant but very bored with waiting time paying drug slowly over days to take your mother to a doctor appointment. Paid for taking so long. By the queue at the counter paying for. First you forgot the doctor prescribing key down! I was waiting for almost half an hour for?!? Wait a while to queue up to get free medicine again. Two doctors prescribe it again !! Increase queues to pay again. The nearly 1 hr. Waiting and paying for medication. Is not free to treat it. And the doctor is very fine, just tired. I was very confused with the IBT Home Showroom. Pay doctors for medicine is not cheap. The service is paid to get this drug very poor. Free treatment with a highly drug-free. If not that history preserved here a long time ago still move up, let's take a look at the expression of individual customers waiting to pay to get drugs soon will know that he sit well bore more than a queue a few years. . hospital Bangkok C Research Center here. Update once Showroom It has reached out to all sides."
พนักงาน เเละ พยาบาล รวมถึงคุณหมอ บริการดีมากครับ มีความขาวสวย เเละใส่ใจคนไข้อย่างทั่วถึง,5,Bangkok Hospitol,Nursing staff were very good services including doctor with white patients were attentive throughout.
รพ.กรุงเทพ... ปกติเราลูกค้าประจำแอดมินทีเป็นอาทิตย์ ค่ายาค่ารักษาไม่เคยบ่น หามาตั้งแต่เด็กจนโต.... .. แต่คราวนี้เกินไปค่ะ น้องสาวปวดท้องไป หมอให้แค่ยาแก้ปวดแถมบอกอาการไม่ได้อีกวีคค่อยมาหาใหม่ ยาแก้ปวด1ซองราคาเกือบหมื่นแถมให้กลับบ้านแบบงงๆว่าเราเป็นอะไร??? อาทิตย์หน้ามาจ่ายใหม่มางงใหม่เนี่ยนะคะ,2,Bangkok Hospitol,"Hospital in Bangkok ... Our regular customers are immediately Administrator Sunday. The drug treatment did not complain. For a child to grow .... But this time too .. Sister to stomach I told the doctor that the pain symptoms have gradually come to new MMA. 1 pack of painkillers for nearly a thousand extras to take home with me so that we do ??? Next week's supply of new puzzles, new'm here."
บริการดีค่ะ..ติดตามผลดีมาก..แต่บางขั้นตอนก้ช้าไป..นั่งรอนานเกือบคล้ายรัฐบาล..แต่โดยรวมบริการดีมากค่ะ♥♥,5,Bangkok Hospitol,Service good.. Follow-up is very good.. But some steps to slow.. Almost like waiting for the government.. But overall very good service ♥♥.
คุณหมอที่นี่เก่งมากวิเคราะห์และรักษาโรคเฉพาะทางได้ดีเยี่ยม,5,Bangkok Hospitol,Here you have a very specific analysis and treatment was excellent.
รักษาดีมากค่ะพยาบาลพุดจาดีมากและคุนหมอด้วยนะ,5,Bangkok Hospitol,Medical treatment is very good and ninjas strike Kun doctor too.
อยากให้ดูแลพนักงานรับเหมาช่วงให้ดีกว่านี้ครับ อย่างน้อยน่าจะมห้สิทรักษาสุขภาพเค้าบ้าง,2,Bangkok Hospitol,Staff subcontracted to do better than this. At least up to the ultimate healthy people do.
ขอบคุณแผนกเนริสเซอร์รี่มากๆนะคะที่ดูแลลูกสาวเป็นอย่างดีระหว่างการพักฟื้นหลังคลอด.. พยายบาลน่ารักใจดีพูดเพราะทุกคน คุณหมอวนิชาก็ดีมากค่ะ ดูแลดีตั้งแต่ฝากครรภ์ยันผ่าคลอด พูดดีใส่ใจดูแลดี มาเยี่ยมไข้ตลอด ลูกแข็งแรงปลอดภัยดี ขอบคุณมากๆนะคะ,5,Bangkok Hospitol,Thanks Chris Azeri department's very much the daughter as well as during convalescence after the birth .. Hades Committee lovely kind words everyone. Dr. Nisha was very pleasant. Good antenatal care from birth through lean. Good good care Visiting the sick Healthy children safe Thank you very much
ชื่นชมการบริการ ประทับใจมากครับ เป็นโรงพยาบาลที่ดูแลคนป่วยอย่างดี,5,Bangkok Hospitol,Wake up service I was very impressed Hospital care for sick people well.
การบริการของเจ้าที่ก็ดีมากค่ะ แพทย์ก็ดีมากเช่นกันค่,5,Bangkok Hospitol,Offers you a lot better. Doctors were great too low
บริการดี พยาบาลก้โอเค หมอคุยใช้ได้อยุ่ แต่ราคาแรงไปนิด 2วันเกือบ60000,4,Bangkok Hospitol,"Ambulance service is available'm okay, I talk a lot. But the little 2 days, almost 60000"
ที่นี่มีคุณหมอที่เก่งๆและพยาบาลที่น่ารักมากๆสถานที่ก็ดีและสะอาดทุกคนให้การตอนรับเป็นอย่างดีค่ะถึงจะราคาดูจะสูงไปหน่อยค่ะแต่ขอติเรื่องกับข้าวทำไม่อร่อยเลยค่ะ.ฝากเรื่องกับข้าวค่ะ,4,Bangkok Hospitol,"This is the doctor who knows and nurses are very lovely place nice and clean all the reception is very good and the price seems high to me, but I left it cooking does not taste good. Leave it with rice"
เมื่อวานที่พาคุณแม่ของผมไปตรวจเป็นวันที่17/09/59 สงสัยเป็นวันหลังหวยออก ขณะนั่งรอคุณหมอมาตรวจ เจ้าหน้าที่พยาบาลพูดคุยกันเรื่องหวยเสียงดังมากๆ ถูกหวยอย่างนั้น ไม่ถูกหวยอย่างนี้ ส่วนสถานที่ คุณหมอผู้ตรวจและการบริการของทางโรงพยาบาลดีมากๆ เมื่อเดิมที่เคยผ่านมาครับ,5,Bangkok Hospitol,I took my mother to check the date 09/17/59. No doubt a day after the lottery ticket While waiting for the doctor to check. Hospital officials say the lottery is very loud. That is a gamble This lottery is not the doctor who examined the site and the services of the hospital very well. When originally been through it.
วันที่28มค.พาลูกสาวมาผ่าตัดเนื้อที่เต้านมจนถึงวันนี้แผลยังไม่หายยังมีอาการเจ็บมีเลือดไหลซึมมาพบหมอทีไรก็บอกว่าแผลปกติที่ผ่าเพราะกลัวกลายเป็นเนื้อร้ายไม่ต้องการผ่าเพื่อให้นมเน่า!!?จะสามเดือนแล้วแผลผ่าเล็กๆยังไม่หายมีปัญญาแค่คิดค่ายาแพงๆใส่ใจคนไข้แค่ใหน,2,Bangkok Hospitol,"28th c. Take Your Daughter to the surgical area of ​​the breast until this wound has not healed the pain, bleeding to find doctors, however, say that the lesions usually operate because the tumor does not want to cut so. rotten milk? !! three months through small wounds have not healed wise I think the drug is more attentive to the patient only."
สามีมีอาการแขนขาไม่มีแรง อยากปรึกษาปัญหา ติดต่อได้ที่ไหนค่ะ,5,Bangkok Hospitol,My husband had limb weakness. What problems Where can contact me
แผนกภูมิแพ้มาทีไร นั่งรอนานทุกที..แผนกอื่นไม่เห็นนานขนาดนี้เลย..,3,Bangkok Hospitol,Allergy department's failings Waiting for me.. Other departments do not see it this long ..
หมอน่ารักจะรับฉีดอย่างเดียวเลย ดูรวมๆแล้วมีเสน่ห์,5,Bangkok Hospitol,I love to inject as yet. And then look attractive
ขอบคุณพ.ปิ่นนะคะ ใจดีมากๆค่ะ ...ตอนนี้อาการดีขึ้นเยอะเลย ^^,5,Bangkok Hospitol,All thanks. Pin very kind to me ... now improved a lot ^^.
คุณหมอน่ารัก พนักงานบริการดี ให้ข้อมูลละเอียด แต่สอนงานกันเสียงดังไปหน่อยเพราะข้อมูลที่กำลังคุยกันคือข้อมูลของคนไข้,5,Bangkok Hospitol,"The doctor's staff, good service. Detailed information But coaching a little loud because the information being discussed is the patient."
ทุกอย่างดีหมดยกเว้นที่จอดรถ มีน้อยมา8:00น.ต้องจอดชั้น7,3,Bangkok Hospitol,"Everything is fine except for the parking. A little over 8:00. 7, to park floor."
รอนานมากๆ ลิฟท์เก่าน่ากลัว แถมอาคารจอดรถยังงงๆมากๆ เพลียย,2,Bangkok Hospitol,The long wait is very scary old elevator. Free parking is also confused and very tired.
