comment,score,hospital,en
ส่วนตัวชอบบริการดีมากกก ช่วงนั่งรอหมอเวรตรวจ แต่หมอติดธุระเลยมาช้า พยาบาลเห็นเราไอหนัก ก็รีบพาไปพบหมออีกคนตรวจละเอียดและถามอาการดีมาก ปลื้มสุดคือพยาบาลฉีดยามือเบามว้ากกกกกก!!!!,4,praram-9-hospital,Like very good service During the wait for the doctor on duty examined But the doctor was busy so late. We saw a nurse heavy Seek another doctor examined carefully and ask a lot of good. Most dramatic was the nurse gently inject the wow kg kg kg !!!!
บริการดีมาก ประทับใจ เป็น รพ.ที่ไม่ผิดหวังจริงๆ คะ,5,praram-9-hospital,Very good service at a hospital that does not really disappoint me.
โรงพยาบาลหรู เอาใจใส่ดี,4,praram-9-hospital,There's a fine hospital
มาตรวจ ที่ปวดหัว บริการ ดีมากครับ,5,praram-9-hospital,Check out the headache service is very good.
ดีมากชอบ พยาบาลมีความเป็นกันเอง พาลูกไปคนเดียวก็ไม่โด่ดเดี่ยวนะ บริการดีทุกอย่าง,5,praram-9-hospital,"Like many great nurses are friendly. Take the children to go it alone, it's not erect the same. All services"
บริการดีครับ,4,praram-9-hospital,Good service
เป็นลูกค้ามานานหลายปี แต่วันนี้ไม่โอ... ใช้บริการศัลยกรรม คนไข้ไม่มี....ทุกอย่างไปด้วยดี มาเสียตรง 1. รอพยาบาลหน้าห้องเพื่อรับใบรับรองแพทย์ กับ จ่ายเงิน.....นานมากกกก 2. หลังจากรอนาน พยาบาลบอกว่าหมอนัดอีก 1 อาทิตย์ ใบนัดอยู่ในซองเรียบร้อย กำลังเดินไปการเงิน เปิดดูใบรับรองแพทย์ กับ ใบนัด เอิ่มมมม...ใบนัดไม่ใช่ชื่อเรา ??? 3. การเงิน แผนกนี้เป็นมานาน รอนานมากไม่ว่าจะมีคนไข้ หรือไม่มี ต้องเดินไปถามทุกครั้ง ครั้งนี้บอกเหตุผลว่า...รอจัดยา...ค่ะ!!!,3,praram-9-hospital,"As a customer for many years But today was not ... Surgery Services No patient .... everything goes well, exactly the fallout 1. Hospital waiting room for a doctor to pay ..... 2. After a very long wait, a nurse said the doctor's appointment leaves 1 week. arranged in a neat package I went Finance View appointment with a medical certificate Erm ... m not match the name ??? 3. Our financial department is long. Wait very long either with or without the patient having to ask. This reason is ... wait for it ... a pill !!!"
บริการดีมากกก,5,praram-9-hospital,Very good service
การบริการดีรวดเร็วช้านิดนึงตรงเรื่องรอพบหมอ,4,praram-9-hospital,"The service is good, fast, slow a little on the subject, waiting to see the doctor."
พยาบาลและเจ้าหน้าที่บริการดีเยี่ยม คุณหมอเก่ง เครื่องมือทันสมัย สถานที่สะอาดสะดวกสบาย ใช้บริการทั้งบ้าน ตั้งแต่ศูนยหัวใจ ไซนัส สูติ มะเร็ง,5,praram-9-hospital,"Hospital staff and excellent service you have good modern equipment. Clean, comfortable place Services include home The Heart Center of Obstetrics sinus cancer"
ได้สาระและความรู้ สามารถนำมาใช้ในชีวิตประจะวันได้,4,praram-9-hospital,By Other News It can be used in their day.
รอนานในการรักษา,2,praram-9-hospital,The long wait for treatment
เมื่อวานเข้าไปใช้บริการที่นี้เป็นครั้งแรกรู้ประทับใจตั้งแต่จุดทำประวัติคนใหม่จนถึงห้องตรวจเจ้าหน้าที่และคุณหมอดูแลดีมากทุกคนเลยค่ะ และเมื่อวานตัวเองต้องมีเคสผ่าตัดพอดีพยาบาลทุกคนก็น่ารักดูแลเอาใจใส่มากๆ รักที่นี้เลยค่ะ,5,praram-9-hospital,"When using the service, this is the first impression that people from making history until the examination room staff and doctors take very good care of all of it. And I myself have a fit case for surgical nurses, everyone I care a lot. I love this"
ดีครับบริการดีครับ,5,praram-9-hospital,"Good service, good"
บรรยากาศดี บริการดี,4,praram-9-hospital,"Good atmosphere, good service"
พยาบาลบริการดีมาก เข้ามาเช็คหลายสิบรอบตลอด 24 ชั่วโมง ข้างล่างมีเซเว่น คนมาเฝ้าไข้พอจะมีอะไรกินบ้าง มีไวไฟแจกฟรีให้ แต่ค่าห้อง 6000 แพงมาก ยังกับโรงแรมหรูๆ,5,praram-9-hospital,"Ambulance service is great Check out dozens around 24 below with the Seven. The vigil will have enough to eat something. There is free Wi-Fi, but also very expensive, room 6000, with many luxury hotels."
ยอดเยี่ยม,5,praram-9-hospital,excellent
ถูกใจมาก ค่ะ,5,praram-9-hospital,Very pleasant
คุณหมอน่ารัก บริการดีมากค่ะ,5,praram-9-hospital,Doctor's service very good.
ก็บริการดีนะ,5,praram-9-hospital,Service was good
เยี่ยมๆมากเลยค่ะ รพ.ใน กทม เรากับแฟนไปที่นี่ที่เดียวค่ะ คุณหมอเอาใจใส่คนไข้มากๆ ไม่ว่าจะเจอคุณหมอท่านไหนก็เชื่อใจ เจ้าหน้าที่ทุกท่าน ทั้งนางพยาบาลยันแม่บ้าน ทุกคนบริการดีเยี่ยม ทุกอย่างได้ดั่งใจมากค่ะ,5,praram-9-hospital,"Too great hospital in Bangkok with our fans go HERE. Doctors caring for patients too Whether you are a doctor, you do not trust. All staff Both lean nurse maid Everyone excellent service I wish all of you very much."
โอเค น่ะค่ะ การบริการดีมาก,5,praram-9-hospital,"Okay, the service is great."
คุณหมอรักษาดีค่ะ สะดวกรวดเร็ว พยาบาลใจดี เพราะลูกรักษาที่นี่ประจำใกล้บ้านและการบริการประทับใจมากค่ะ,5,praram-9-hospital,You treat me good as a quick medical treatment for her generosity at this time close to home and very impressive service.
บริการดีประทับใจ,5,praram-9-hospital,Good impression
การบริการดีและพนักงานสุภาพเรียบร้อยดี,4,praram-9-hospital,The service is good and the staff very polite.
บริการดีมากค่ะคุณหมอตรวจระเอียด เอาใจใส่ดี พูดเพราะค่ะ,5,praram-9-hospital,"Service is very good, caring doctor examined the letter because it speaks."
บริการดีมากครับ,5,praram-9-hospital,Service is very good
การบริการที่ห้องฉุกเฉินแย่มากคนไข้อาเจียนพนักงานปล่อยให้คนไข้กับญาติดูแลกันเองทำความสะอาดเองแล้วถามว่าอาดจียนบ่อยไหมไม่คิดจะช่วยหยิบจับอะไรเลยแล้วคิดค่าบริการพยาบาลทำไมเรามารพ.เอกชนเสียเงินค่าบริการแพงกว่าของรัฐบาลแต่ได้บริการที่แย่กว่าครั้งนี้เสียความรู้สึกมากๆๆเราใช้บริการที่นี่มากว่า20ปีถ้าไม่ติดต้องหาคุณหมอประจำคิดจะเปลี่ยนรพ.จริงๆ,2,praram-9-hospital,"The service at the emergency room, very patient vomiting employees leave the patient with a relative to take care of themselves, clean themselves and asked ard Ji Yon often do not think to grab anything and charge nurse why our hospital private money. expensive services than the government, but the service is worse than bad feeling much we use here for more than 20 years, if you can not find a doctor that will change the hospital actually. more"
นางพยาบาล ดูแลผู้ป่วยใน ชั้น 7 ใจดีทุกๆๆๆคนเลยค่ะ ..บริการดี..อยากให้ แผนกอื่นดูแผนกคลีนิคเด็ก และ แผนกพยาบาล ชั้น 7 เป็นตัวอย่างค่ะ..คุณหมอก็ดี ค่ะ,5,praram-9-hospital,Nurse to patient care in every 7-hearted people around me. Good service .... I. See other departments department clinics and nursing departments 7 is here.. You better not.
ยังมีสิ่งที่ต้องปรับปรุงอยู่,4,praram-9-hospital,There is always something to improve on.
เคยใช้บริการมาหลายครั้ง ประทับใจทุกครั้ง การเอาใจใส่คนไข้ดีมาก บริการทางด้านฉุกเฉินเยี่ยมครับ ทันเหตุการณ์ดี มีแพทธ์เฉพาะทางเยอะ,5,praram-9-hospital,I use it many times At all times Excellent patient care Visited the emergency services Keep up the good Pat has dedicated a lot of bandwidth.
ที่นี่ โอเค,5,praram-9-hospital,Okay here
บริการสุดยอดครับ หมอก็เอาใจใส่คนไข้ดีมาก,5,praram-9-hospital,Zenith's services The doctor was very attentive patient
การแนะนำผู้จอดรถบางชั้นพูดจาไม่เรียบร้อยพูดไม่ดี มารยาทแย่ห่วย รพ.รัฐฯบางครั้งยังดีกว่า,3,praram-9-hospital,"The introduction of parking decks, some say bad things unsettled. Bad Manners Suck Hospital state's sometimes better."
บริการดูแลคนไข้เป็นอย่างดี,5,praram-9-hospital,Patient care services as well
